year,round,Team,Driver,Compound
2018,16,Sauber,LEC,"['HYPERSOFT', 'SOFT']"
2018,16,Toro Rosso,GAS,['SOFT']
2018,16,Toro Rosso,HAR,"['HYPERSOFT', 'SOFT']"
2018,16,Williams,SIR,"['ULTRASOFT', 'SOFT']"
2018,16,Williams,STR,"['ULTRASOFT', 'SOFT']"
2018,17,Ferrari,RAI,"['SUPERSOFT', 'MEDIUM']"
2018,17,Ferrari,VET,"['SUPERSOFT', 'SOFT']"
2018,17,Haas F1 Team,GRO,"['SOFT', 'MEDIUM']"
2018,17,Haas F1 Team,MAG,"['SOFT', 'MEDIUM']"
2018,17,McLaren,ALO,"['SOFT', 'MEDIUM']"
2018,17,McLaren,VAN,"['SOFT', 'MEDIUM']"
2018,17,Mercedes,BOT,"['SOFT', 'MEDIUM']"
2018,17,Mercedes,HAM,"['SOFT', 'MEDIUM']"
2018,17,Racing Point,OCO,"['SUPERSOFT', 'MEDIUM']"
2018,17,Racing Point,PER,"['SUPERSOFT', 'SOFT']"
2018,17,Red Bull Racing,RIC,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,17,Red Bull Racing,VER,"['SUPERSOFT', 'SOFT']"
2018,17,Renault,HUL,"['MEDIUM', 'SOFT']"
2018,17,Renault,SAI,"['SOFT', 'MEDIUM']"
2018,17,Sauber,ERI,"['SOFT', 'MEDIUM']"
2018,17,Sauber,LEC,"['SOFT', 'MEDIUM', 'SOFT']"
2018,17,Toro Rosso,GAS,"['SUPERSOFT', 'SOFT']"
2018,17,Toro Rosso,HAR,"['SUPERSOFT', 'SOFT']"
2018,17,Williams,SIR,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,17,Williams,STR,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,18,Ferrari,RAI,"['ULTRASOFT', 'SOFT']"
2018,18,Ferrari,VET,"['SUPERSOFT', 'SOFT']"
2018,18,Haas F1 Team,GRO,"['ULTRASOFT', 'ULTRASOFT']"
2018,18,Haas F1 Team,MAG,"['SUPERSOFT', 'SOFT']"
2018,18,McLaren,ALO,['SUPERSOFT']
2018,18,McLaren,VAN,"['SUPERSOFT', 'SOFT', 'SOFT']"
2018,18,Mercedes,BOT,"['SUPERSOFT', 'SOFT']"
2018,18,Mercedes,HAM,"['SUPERSOFT', 'SOFT', 'SOFT']"
2018,18,Racing Point,OCO,"['ULTRASOFT', 'SOFT']"
2018,18,Racing Point,PER,"['ULTRASOFT', 'SOFT']"
2018,18,Red Bull Racing,RIC,['SUPERSOFT']
2018,18,Red Bull Racing,VER,"['SOFT', 'SUPERSOFT']"
2018,18,Renault,HUL,"['ULTRASOFT', 'SOFT']"
2018,18,Renault,SAI,"['SUPERSOFT', 'SOFT']"
2018,18,Sauber,ERI,"['SOFT', 'SUPERSOFT']"
2018,18,Sauber,LEC,"['ULTRASOFT', 'SOFT', 'ULTRASOFT']"
2018,18,Toro Rosso,GAS,"['SUPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,18,Toro Rosso,HAR,"['SUPERSOFT', 'SOFT']"
2018,18,Williams,SIR,"['SUPERSOFT', 'SOFT', 'SUPERSOFT']"
2018,18,Williams,STR,"['SUPERSOFT', 'SOFT', 'SUPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,19,Ferrari,RAI,"['ULTRASOFT', 'SUPERSOFT']"
2018,19,Ferrari,VET,"['ULTRASOFT', 'SUPERSOFT', 'ULTRASOFT']"
2018,19,Haas F1 Team,GRO,"['SUPERSOFT', 'ULTRASOFT', 'HYPERSOFT']"
2018,19,Haas F1 Team,MAG,"['SUPERSOFT', 'ULTRASOFT']"
2018,19,McLaren,ALO,['ULTRASOFT']
2018,19,McLaren,VAN,"['ULTRASOFT', 'SUPERSOFT']"
2018,19,Mercedes,BOT,"['ULTRASOFT', 'SUPERSOFT', 'ULTRASOFT', 'HYPERSOFT']"
2018,19,Mercedes,HAM,"['ULTRASOFT', 'SUPERSOFT', 'ULTRASOFT']"
2018,19,Racing Point,OCO,"['SUPERSOFT', 'SUPERSOFT', 'ULTRASOFT']"
2018,19,Racing Point,PER,"['SUPERSOFT', 'ULTRASOFT']"
2018,19,Red Bull Racing,RIC,"['ULTRASOFT', 'SUPERSOFT']"
2018,19,Red Bull Racing,VER,"['ULTRASOFT', 'SUPERSOFT', 'SUPERSOFT']"
2018,19,Renault,HUL,"['HYPERSOFT', 'SUPERSOFT']"
2018,19,Renault,SAI,"['HYPERSOFT', 'SUPERSOFT']"
2018,19,Sauber,ERI,"['HYPERSOFT', 'SUPERSOFT']"
2018,19,Sauber,LEC,"['HYPERSOFT', 'SUPERSOFT']"
2018,19,Toro Rosso,GAS,"['HYPERSOFT', 'SUPERSOFT', 'SUPERSOFT']"
2018,19,Toro Rosso,HAR,"['SUPERSOFT', 'ULTRASOFT', 'SUPERSOFT']"
2018,19,Williams,SIR,"['ULTRASOFT', 'SUPERSOFT']"
2018,19,Williams,STR,"['ULTRASOFT', 'ULTRASOFT', 'SUPERSOFT']"
2018,20,Ferrari,RAI,"['SOFT', 'MEDIUM']"
2018,20,Ferrari,VET,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,20,Haas F1 Team,GRO,"['SUPERSOFT', 'MEDIUM']"
2018,20,Haas F1 Team,MAG,"['SOFT', 'SUPERSOFT']"
2018,20,McLaren,ALO,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,20,McLaren,VAN,"['SOFT', 'MEDIUM']"
2018,20,Mercedes,BOT,"['SUPERSOFT', 'MEDIUM', 'SOFT']"
2018,20,Mercedes,HAM,"['SUPERSOFT', 'MEDIUM']"
2018,20,Racing Point,OCO,"['SOFT', 'SUPERSOFT', 'SUPERSOFT']"
2018,20,Racing Point,PER,"['SUPERSOFT', 'SOFT']"
2018,20,Red Bull Racing,RIC,"['SUPERSOFT', 'SOFT']"
2018,20,Red Bull Racing,VER,"['SUPERSOFT', 'SOFT']"
2018,20,Renault,HUL,['SOFT']
2018,20,Renault,SAI,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,20,Sauber,ERI,"['SUPERSOFT', 'MEDIUM']"
2018,20,Sauber,LEC,"['SUPERSOFT', 'MEDIUM']"
2018,20,Toro Rosso,GAS,"['SUPERSOFT', 'MEDIUM']"
2018,20,Toro Rosso,HAR,"['MEDIUM', 'SUPERSOFT']"
2018,20,Williams,SIR,"['SOFT', 'MEDIUM']"
2018,20,Williams,STR,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,21,Ferrari,RAI,['ULTRASOFT']
2018,21,Ferrari,VET,"['ULTRASOFT', 'SUPERSOFT']"
2018,21,Haas F1 Team,GRO,"['HYPERSOFT', 'SUPERSOFT']"
2018,21,Haas F1 Team,MAG,"['SUPERSOFT', 'ULTRASOFT']"
2018,21,McLaren,ALO,"['ULTRASOFT', 'SUPERSOFT']"
2018,21,McLaren,VAN,"['SUPERSOFT', 'ULTRASOFT']"
2018,21,Mercedes,BOT,"['ULTRASOFT', 'SUPERSOFT', 'ULTRASOFT']"
2018,21,Mercedes,HAM,"['ULTRASOFT', 'SUPERSOFT']"
2018,21,Racing Point,OCO,"['HYPERSOFT', 'SUPERSOFT']"
2018,21,Racing Point,PER,"['ULTRASOFT', 'SUPERSOFT']"
2018,21,Red Bull Racing,RIC,"['ULTRASOFT', 'HYPERSOFT', 'SUPERSOFT']"
2018,21,Red Bull Racing,VER,"['HYPERSOFT', 'SUPERSOFT']"
2018,21,Renault,HUL,['HYPERSOFT']
2018,21,Renault,SAI,"['ULTRASOFT', 'SUPERSOFT']"
2018,21,Sauber,ERI,['SUPERSOFT']
2018,21,Sauber,LEC,"['HYPERSOFT', 'SUPERSOFT']"
2018,21,Toro Rosso,GAS,"['SUPERSOFT', 'ULTRASOFT']"
2018,21,Toro Rosso,HAR,"['ULTRASOFT', 'SUPERSOFT', 'ULTRASOFT']"
2018,21,Williams,SIR,"['SUPERSOFT', 'ULTRASOFT']"
2018,21,Williams,STR,"['SUPERSOFT', 'ULTRASOFT']"
2019,1,Alfa Romeo Racing,GIO,"['MEDIUM', 'SOFT']"
2019,1,Alfa Romeo Racing,RAI,"['SOFT', 'MEDIUM']"
2019,1,Ferrari,LEC,"['SOFT', 'HARD']"
2019,1,Ferrari,VET,"['SOFT', 'MEDIUM']"
2019,1,Haas F1 Team,GRO,"['SOFT', 'MEDIUM']"
2019,1,Haas F1 Team,MAG,"['SOFT', 'MEDIUM']"
2019,1,McLaren,NOR,"['SOFT', 'HARD']"
2019,1,McLaren,SAI,['SOFT']
2019,1,Mercedes,BOT,"['SOFT', 'MEDIUM']"
2019,1,Mercedes,HAM,"['SOFT', 'MEDIUM']"
2019,1,Racing Point,PER,"['SOFT', 'HARD']"
2019,1,Racing Point,STR,"['MEDIUM', 'HARD']"
2019,1,Red Bull Racing,GAS,"['MEDIUM', 'SOFT']"
2019,1,Red Bull Racing,VER,"['SOFT', 'MEDIUM']"
2019,1,Renault,HUL,"['SOFT', 'HARD']"
2019,1,Renault,RIC,"['SOFT', 'HARD']"
2019,1,Toro Rosso,ALB,"['SOFT', 'MEDIUM']"
2019,1,Toro Rosso,KVY,"['MEDIUM', 'HARD']"
2019,1,Williams,KUB,"['HARD', 'MEDIUM', 'SOFT', 'SOFT']"
2019,1,Williams,RUS,"['MEDIUM', 'SOFT', 'HARD']"
2019,2,Alfa Romeo Racing,GIO,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']"
2019,2,Alfa Romeo Racing,RAI,"['SOFT', 'MEDIUM', 'SOFT']"
2019,2,Ferrari,LEC,"['SOFT', 'MEDIUM', 'MEDIUM']"
2019,2,Ferrari,VET,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']"
2019,2,Haas F1 Team,GRO,"['SOFT', 'MEDIUM']"
2019,2,Haas F1 Team,MAG,"['SOFT', 'MEDIUM', 'SOFT']"
2019,2,McLaren,NOR,"['SOFT', 'MEDIUM', 'SOFT']"
2019,2,McLaren,SAI,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']"
2019,2,Mercedes,BOT,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']"
2019,2,Mercedes,HAM,"['SOFT', 'SOFT', 'MEDIUM']"
2019,2,Racing Point,PER,"['SOFT', 'MEDIUM', 'MEDIUM']"
2019,2,Racing Point,STR,"['SOFT', 'MEDIUM', 'MEDIUM']"
2019,2,Red Bull Racing,GAS,"['SOFT', 'SOFT', 'MEDIUM']"
2019,2,Red Bull Racing,VER,"['SOFT', 'MEDIUM', 'MEDIUM']"
2019,2,Renault,HUL,"['SOFT', 'SOFT', 'MEDIUM']"
2019,2,Renault,RIC,"['SOFT', 'MEDIUM']"
2019,2,Toro Rosso,ALB,"['SOFT', 'SOFT', 'MEDIUM']"
2019,2,Toro Rosso,KVY,"['SOFT', 'MEDIUM', 'SOFT']"
2019,2,Williams,KUB,"['MEDIUM', 'SOFT', 'MEDIUM']"
2019,2,Williams,RUS,"['SOFT', 'MEDIUM', 'MEDIUM']"
2019,3,Alfa Romeo Racing,GIO,"['SOFT', 'MEDIUM', 'MEDIUM']"
2019,3,Alfa Romeo Racing,RAI,"['MEDIUM', 'HARD']"
2019,3,Ferrari,LEC,"['MEDIUM', 'HARD', 'MEDIUM']"
2019,3,Ferrari,VET,"['MEDIUM', 'HARD', 'MEDIUM', 'MEDIUM']"
2019,3,Haas F1 Team,GRO,"['SOFT', 'HARD', 'MEDIUM']"
2019,3,Haas F1 Team,MAG,"['SOFT', 'HARD', 'MEDIUM']"
2019,3,McLaren,NOR,"['MEDIUM', 'HARD', 'MEDIUM', 'SOFT']"
2019,3,McLaren,SAI,"['MEDIUM', 'HARD', 'SOFT']"
2019,3,Mercedes,BOT,"['MEDIUM', 'HARD', 'MEDIUM']"
2019,3,Mercedes,HAM,"['MEDIUM', 'HARD', 'MEDIUM']"
2019,3,Racing Point,PER,"['MEDIUM', 'HARD']"
2019,3,Racing Point,STR,"['MEDIUM', 'HARD', 'SOFT']"
2019,3,Red Bull Racing,GAS,"['SOFT', 'HARD', 'MEDIUM', 'SOFT']"
2019,3,Red Bull Racing,VER,"['MEDIUM', 'HARD', 'MEDIUM']"
2019,3,Renault,HUL,"['SOFT', 'HARD']"
2019,3,Renault,RIC,"['SOFT', 'HARD']"
2019,3,Toro Rosso,ALB,"['SOFT', 'HARD']"
2019,3,Toro Rosso,KVY,"['MEDIUM', 'MEDIUM', 'HARD', 'SOFT']"
2019,3,Williams,KUB,"['MEDIUM', 'HARD']"
2019,3,Williams,RUS,"['MEDIUM', 'HARD', 'SOFT']"
2019,4,Alfa Romeo Racing,GIO,"['SOFT', 'MEDIUM']"
2019,4,Alfa Romeo Racing,RAI,"['SOFT', 'MEDIUM']"
2019,4,Ferrari,LEC,"['MEDIUM', 'SOFT', 'SOFT']"
2019,4,Ferrari,VET,"['SOFT', 'MEDIUM']"
2019,4,Haas F1 Team,GRO,"['MEDIUM', 'SOFT']"
2019,4,Haas F1 Team,MAG,"['SOFT', 'MEDIUM', 'SOFT']"
2019,4,McLaren,NOR,"['SOFT', 'MEDIUM', 'SOFT']"
2019,4,McLaren,SAI,"['SOFT', 'MEDIUM']"
2019,4,Mercedes,BOT,"['SOFT', 'MEDIUM']"
2019,4,Mercedes,HAM,"['SOFT', 'MEDIUM']"
2019,4,Racing Point,PER,"['SOFT', 'MEDIUM']"
2019,4,Racing Point,STR,"['SOFT', 'MEDIUM']"
2019,4,Red Bull Racing,GAS,['MEDIUM']
2019,4,Red Bull Racing,VER,"['SOFT', 'MEDIUM']"
2019,4,Renault,HUL,"['SOFT', 'MEDIUM', 'SOFT']"
2019,4,Renault,RIC,"['SOFT', 'MEDIUM']"
2019,4,Toro Rosso,ALB,"['SOFT', 'MEDIUM']"
2019,4,Toro Rosso,KVY,"['SOFT', 'MEDIUM']"
2019,4,Williams,KUB,"['MEDIUM', 'MEDIUM', 'MEDIUM', 'SOFT']"
2019,4,Williams,RUS,"['MEDIUM', 'MEDIUM', 'SOFT']"
2019,5,Alfa Romeo Racing,GIO,"['SOFT', 'HARD', 'SOFT']"
2019,5,Alfa Romeo Racing,RAI,"['MEDIUM', 'HARD', 'SOFT']"
2019,5,Ferrari,LEC,"['SOFT', 'HARD', 'MEDIUM']"
2019,5,Ferrari,VET,"['SOFT', 'MEDIUM', 'MEDIUM']"
2019,5,Haas F1 Team,GRO,"['SOFT', 'MEDIUM', 'SOFT']"
2019,5,Haas F1 Team,MAG,"['SOFT', 'MEDIUM', 'SOFT']"
2019,5,McLaren,NOR,"['SOFT', 'MEDIUM']"
2019,5,McLaren,SAI,"['SOFT', 'MEDIUM', 'SOFT']"
2019,5,Mercedes,BOT,"['SOFT', 'MEDIUM', 'SOFT']"
2019,5,Mercedes,HAM,"['SOFT', 'MEDIUM', 'SOFT']"
2019,5,Racing Point,PER,"['SOFT', 'MEDIUM', 'SOFT']"
2019,5,Racing Point,STR,"['MEDIUM', 'SOFT']"
2019,5,Red Bull Racing,GAS,"['SOFT', 'MEDIUM', 'SOFT']"
2019,5,Red Bull Racing,VER,"['SOFT', 'SOFT', 'MEDIUM']"
2019,5,Renault,HUL,"['MEDIUM', 'SOFT']"
2019,5,Renault,RIC,"['SOFT', 'HARD', 'MEDIUM']"
2019,5,Toro Rosso,ALB,"['SOFT', 'MEDIUM', 'MEDIUM']"
2019,5,Toro Rosso,KVY,"['SOFT', 'MEDIUM', 'MEDIUM']"
2019,5,Williams,KUB,"['MEDIUM', 'SOFT', 'MEDIUM']"
2019,5,Williams,RUS,"['MEDIUM', 'SOFT', 'MEDIUM']"
2019,6,Alfa Romeo Racing,GIO,"['SOFT', 'MEDIUM']"
2019,6,Alfa Romeo Racing,RAI,"['SOFT', 'MEDIUM']"
2019,6,Ferrari,LEC,"['MEDIUM', 'HARD', 'SOFT']"
2019,6,Ferrari,VET,"['SOFT', 'HARD']"
2019,6,Haas F1 Team,GRO,"['SOFT', 'MEDIUM']"
2019,6,Haas F1 Team,MAG,"['SOFT', 'MEDIUM']"
2019,6,McLaren,NOR,"['MEDIUM', 'SOFT']"
2019,6,McLaren,SAI,"['SOFT', 'MEDIUM']"
2019,6,Mercedes,BOT,"['SOFT', 'MEDIUM', 'HARD']"
2019,6,Mercedes,HAM,"['SOFT', 'MEDIUM']"
2019,6,Racing Point,PER,"['MEDIUM', 'HARD']"
2019,6,Racing Point,STR,"['MEDIUM', 'HARD', 'MEDIUM']"
2019,6,Red Bull Racing,GAS,"['SOFT', 'MEDIUM', 'SOFT']"
2019,6,Red Bull Racing,VER,"['SOFT', 'HARD']"
2019,6,Renault,HUL,"['MEDIUM', 'HARD']"
2019,6,Renault,RIC,"['SOFT', 'MEDIUM']"
2019,6,Toro Rosso,ALB,"['SOFT', 'MEDIUM']"
2019,6,Toro Rosso,KVY,"['SOFT', 'MEDIUM']"
2019,6,Williams,KUB,"['MEDIUM', 'HARD']"
2019,6,Williams,RUS,"['MEDIUM', 'HARD']"
2019,7,Alfa Romeo Racing,GIO,"['HARD', 'MEDIUM']"
2019,7,Alfa Romeo Racing,RAI,"['MEDIUM', 'HARD', 'SOFT']"
2019,7,Ferrari,LEC,"['MEDIUM', 'HARD']"
2019,7,Ferrari,VET,"['MEDIUM', 'HARD']"
2019,7,Haas F1 Team,GRO,"['MEDIUM', 'HARD']"
2019,7,Haas F1 Team,MAG,"['HARD', 'MEDIUM']"
2019,7,McLaren,NOR,['SOFT']
2019,7,McLaren,SAI,"['SOFT', 'HARD', 'SOFT']"
2019,7,Mercedes,BOT,"['MEDIUM', 'HARD', 'SOFT']"
2019,7,Mercedes,HAM,"['MEDIUM', 'HARD']"
2019,7,Racing Point,PER,"['MEDIUM', 'HARD']"
2019,7,Racing Point,STR,"['HARD', 'MEDIUM']"
2019,7,Red Bull Racing,GAS,"['SOFT', 'HARD']"
2019,7,Red Bull Racing,VER,"['HARD', 'MEDIUM']"
2019,7,Renault,HUL,"['SOFT', 'HARD']"
2019,7,Renault,RIC,"['SOFT', 'HARD']"
2019,7,Toro Rosso,ALB,"['MEDIUM', 'HARD']"
2019,7,Toro Rosso,KVY,"['MEDIUM', 'HARD']"
2019,7,Williams,KUB,"['MEDIUM', 'HARD', 'MEDIUM', 'HARD']"
2019,7,Williams,RUS,"['MEDIUM', 'HARD']"
2019,8,Alfa Romeo Racing,GIO,"['SOFT', 'HARD', 'MEDIUM']"
2019,8,Alfa Romeo Racing,RAI,"['HARD', 'MEDIUM']"
2019,8,Ferrari,LEC,"['MEDIUM', 'HARD']"
2019,8,Ferrari,VET,"['MEDIUM', 'HARD', 'SOFT']"
2019,8,Haas F1 Team,GRO,"['HARD', 'MEDIUM']"
2019,8,Haas F1 Team,MAG,"['MEDIUM', 'HARD']"
2019,8,McLaren,NOR,"['MEDIUM', 'HARD']"
2019,8,McLaren,SAI,"['MEDIUM', 'HARD']"
2019,8,Mercedes,BOT,"['MEDIUM', 'HARD']"
2019,8,Mercedes,HAM,"['MEDIUM', 'HARD']"
2019,8,Racing Point,PER,"['MEDIUM', 'HARD']"
2019,8,Racing Point,STR,"['HARD', 'MEDIUM']"
2019,8,Red Bull Racing,GAS,"['SOFT', 'HARD']"
2019,8,Red Bull Racing,VER,"['MEDIUM', 'HARD']"
2019,8,Renault,HUL,"['HARD', 'HARD', 'MEDIUM']"
2019,8,Renault,RIC,"['MEDIUM', 'HARD']"
2019,8,Toro Rosso,ALB,"['MEDIUM', 'HARD']"
2019,8,Toro Rosso,KVY,"['HARD', 'MEDIUM']"
2019,8,Williams,KUB,"['MEDIUM', 'HARD']"
2019,8,Williams,RUS,"['MEDIUM', 'HARD', 'MEDIUM']"
2019,9,Alfa Romeo Racing,GIO,"['SOFT', 'HARD']"
2019,9,Alfa Romeo Racing,RAI,"['SOFT', 'HARD']"
2019,9,Ferrari,LEC,"['SOFT', 'HARD']"
2019,9,Ferrari,VET,"['SOFT', 'HARD', 'SOFT']"
2019,9,Haas F1 Team,GRO,"['MEDIUM', 'HARD']"
2019,9,Haas F1 Team,MAG,"['SOFT', 'HARD', 'HARD', 'SOFT']"
2019,9,McLaren,NOR,"['SOFT', 'MEDIUM']"
2019,9,McLaren,SAI,"['MEDIUM', 'HARD']"
2019,9,Mercedes,BOT,"['MEDIUM', 'HARD']"
2019,9,Mercedes,HAM,"['MEDIUM', 'HARD']"
2019,9,Racing Point,PER,"['MEDIUM', 'HARD']"
2019,9,Racing Point,STR,"['MEDIUM', 'HARD']"
2019,9,Red Bull Racing,GAS,"['SOFT', 'HARD']"
2019,9,Red Bull Racing,VER,"['MEDIUM', 'HARD']"
2019,9,Renault,HUL,"['MEDIUM', 'HARD']"
2019,9,Renault,RIC,"['MEDIUM', 'SOFT']"
2019,9,Toro Rosso,ALB,"['MEDIUM', 'HARD']"
2019,9,Toro Rosso,KVY,"['MEDIUM', 'HARD']"
2019,9,Williams,KUB,"['MEDIUM', 'HARD']"
2019,9,Williams,RUS,"['MEDIUM', 'HARD']"
2019,10,Alfa Romeo Racing,GIO,['MEDIUM']
2019,10,Alfa Romeo Racing,RAI,"['MEDIUM', 'HARD']"
2019,10,Ferrari,LEC,"['SOFT', 'MEDIUM', 'HARD']"
2019,10,Ferrari,VET,"['SOFT', 'HARD', 'MEDIUM']"
2019,10,Haas F1 Team,GRO,"['SOFT', 'HARD']"
2019,10,Haas F1 Team,MAG,"['SOFT', 'HARD']"
2019,10,McLaren,NOR,"['SOFT', 'MEDIUM', 'HARD']"
2019,10,McLaren,SAI,"['MEDIUM', 'HARD']"
2019,10,Mercedes,BOT,"['MEDIUM', 'MEDIUM', 'SOFT']"
2019,10,Mercedes,HAM,"['MEDIUM', 'HARD']"
2019,10,Racing Point,PER,"['MEDIUM', 'HARD', 'SOFT', 'SOFT']"
2019,10,Racing Point,STR,"['MEDIUM', 'HARD', 'SOFT']"
2019,10,Red Bull Racing,GAS,"['MEDIUM', 'HARD', 'MEDIUM']"
2019,10,Red Bull Racing,VER,"['MEDIUM', 'MEDIUM', 'HARD']"
2019,10,Renault,HUL,"['SOFT', 'HARD']"
2019,10,Renault,RIC,"['SOFT', 'MEDIUM', 'HARD']"
2019,10,Toro Rosso,ALB,"['SOFT', 'MEDIUM']"
2019,10,Toro Rosso,KVY,"['SOFT', 'MEDIUM', 'HARD']"
2019,10,Williams,KUB,"['MEDIUM', 'HARD']"
2019,10,Williams,RUS,"['MEDIUM', 'HARD']"
2019,11,Alfa Romeo Racing,GIO,"['WET', 'INTERMEDIATE', 'MEDIUM', 'INTERMEDIATE', 'SOFT']"
2019,11,Alfa Romeo Racing,RAI,"['WET', 'INTERMEDIATE', 'MEDIUM', 'INTERMEDIATE', 'SOFT']"
2019,11,Ferrari,LEC,"['WET', 'INTERMEDIATE', 'INTERMEDIATE']"
2019,11,Ferrari,VET,"['WET', 'INTERMEDIATE', 'SOFT', 'INTERMEDIATE', 'INTERMEDIATE', 'SOFT']"
2019,11,Haas F1 Team,GRO,"['WET', 'INTERMEDIATE', 'SOFT', 'INTERMEDIATE', 'INTERMEDIATE', 'SOFT']"
2019,11,Haas F1 Team,MAG,"['WET', 'INTERMEDIATE', 'SOFT', 'INTERMEDIATE', 'INTERMEDIATE', 'SOFT', 'SOFT']"
2019,11,McLaren,NOR,"['WET', 'INTERMEDIATE']"
2019,11,McLaren,SAI,"['WET', 'INTERMEDIATE', 'INTERMEDIATE', 'SOFT']"
2019,11,Mercedes,BOT,"['WET', 'INTERMEDIATE', 'MEDIUM', 'INTERMEDIATE', 'SOFT']"
2019,11,Mercedes,HAM,"['WET', 'INTERMEDIATE', 'SOFT', 'INTERMEDIATE', 'SOFT', 'SOFT', 'SOFT']"
2019,11,Racing Point,PER,['WET']
